ref	s1	e1	ali	s2	e2	bundle_size	direction	telo1	telo2
2	2983879	2997780	5	2974284	2970404	-1	3	NA	NA
2	122173	124435	6	3037217	3039475	1	1	NA	NA
2	2832192	2841665	6	297504	304480	1	2	NA	NA
2	124457	138715	8	1642587	1630936	-1	2	NA	NA
2	661321	662990	8	3956565	3954895	-1	1	NA	NA
2	7039829	7044347	8	449686	445176	-1	1	NA	NA
2	1894928	1897057	9	763891	766020	1	1	NA	NA
2	252315	272214	10	1548346	1558959	1	3	NA	NA
2	663398	676715	10	1346291	1351638	1	4	NA	NA
2	3009818	3011027	12	287772	288984	1	1	NA	NA
3	3536244	3537266	2	2899859	2900890	1	1	NA	NA
3	31195	393895	3	6750819	6389286	-1	29	18365	NA
3	405155	413706	3	6382326	6373769	-1	2	NA	NA
3	417124	418985	3	1281105	1279243	-1	1	NA	NA
3	419617	1342522	3	6373491	5444459	-1	99	NA	NA
3	1343497	1355085	3	5421229	5409642	-1	2	NA	NA
3	1366151	1383892	3	5438607	5421225	-1	2	NA	NA
3	1390545	2737853	3	5406028	4061302	-1	66	NA	NA
3	2753994	2838187	3	4043310	3959253	-1	4	NA	NA
3	2855270	3535997	3	3952398	3268402	-1	19	NA	NA
3	3594897	3623306	3	3194207	3155783	-1	5	NA	NA
3	3623397	4612685	3	3142235	2159322	-1	35	NA	NA
3	4639893	4644414	3	2158394	2153880	-1	1	NA	NA
3	4644709	4931589	3	2137903	1857221	-1	22	NA	NA
3	4944249	4949677	3	1855497	1850054	-1	1	NA	NA
3	4967626	6004762	3	1850062	819020	-1	108	NA	NA
3	6008728	6176024	3	799586	623703	-1	16	NA	NA
3	6176048	6200141	3	606387	581937	-1	4	NA	NA
3	6207504	6287034	3	571445	493407	-1	13	NA	NA
3	6296093	6565022	3	481082	204074	-1	24	NA	NA
3	6571347	6740966	3	174029	6272	-1	10	NA	6747237
3	398642	400506	4	5498445	5500309	1	1	NA	NA
3	3539713	3545553	4	3792598	3786802	-1	1	NA	NA
3	3546566	3555086	5	4597001	4605201	1	3	NA	NA
3	3564959	3567128	5	2972087	2969902	-1	1	NA	NA
3	4635808	4637122	5	5021565	5020255	-1	1	NA	NA
3	1363195	1366150	6	3040169	3037217	-1	1	NA	NA
3	3569638	3571343	6	1440940	1442643	1	1	NA	NA
3	3555302	3558110	7	578030	575199	-1	1	NA	NA
3	3579667	3582150	7	549022	551498	1	1	NA	NA
3	4955875	4958297	7	1373875	1376265	1	1	NA	NA
3	4616426	4634599	8	296026	296031	-1	3	NA	NA
3	4950344	4952585	8	306994	304757	-1	1	NA	NA
3	4952594	4955477	8	489856	486960	-1	1	NA	NA
3	1356770	1362237	10	1346292	1351638	1	2	NA	NA
3	4959076	4962342	10	2352354	2355617	1	1	NA	NA
3	3572673	3573672	12	301266	300249	-1	1	NA	NA
4	1307516	1310245	1	6707761	6705025	-1	1	NA	NA
4	2631817	2645690	1	6718914	6705017	-1	1	NA	NA
4	2655636	2656894	2	2920939	2919688	-1	1	NA	NA
4	5718591	5729277	2	3472685	3461635	-1	3	NA	NA
4	1804027	1805330	3	1281103	1279798	-1	1	NA	NA
4	2594345	2596501	3	3241373	3239308	-1	1	NA	NA
4	31563	33333	4	6258745	6256921	-1	1	NA	NA
4	36215	363779	4	6245049	5917182	-1	28	NA	NA
4	451095	495277	4	5799526	5755435	-1	3	NA	NA
4	511625	871369	4	5747581	5391670	-1	40	NA	NA
4	882184	1292556	4	5391367	4982089	-1	50	NA	NA
4	1293811	1304207	4	785908	776776	-1	2	NA	NA
4	1310903	1705617	4	4982092	4578142	-1	37	NA	NA
4	1717459	1798324	4	4572552	4501824	-1	7	NA	NA
4	1814790	1886841	4	4495803	4421555	-1	6	NA	NA
4	1896982	2573207	4	4414554	3718200	-1	54	NA	NA
4	2574324	2588415	4	3691865	3677867	-1	1	NA	NA
4	2660579	3882643	4	3624780	2402553	-1	67	NA	NA
4	3903795	4217091	4	2374535	2059169	-1	22	NA	NA
4	4217234	4346446	4	1669862	1801137	1	9	NA	NA
4	4366899	4627804	4	1805914	2057400	1	14	NA	NA
4	4629960	4710211	4	1669730	1590117	-1	10	NA	NA
4	4740630	4937384	4	1571151	1363766	-1	29	NA	NA
4	4949081	5013450	4	1363086	1298689	-1	8	NA	NA
4	5014183	5047666	4	1285332	1251356	-1	3	NA	NA
4	5056000	5058355	4	1297887	1295524	-1	1	NA	NA
4	5058887	5110494	4	1246292	1196201	-1	8	NA	NA
4	5110522	5158005	4	1172511	1125443	-1	6	NA	NA
4	5158008	5170738	4	1112475	1099538	-1	2	NA	NA
4	5213740	5293445	4	1042462	966188	-1	9	NA	NA
4	5293525	5295386	4	1418055	1416194	-1	1	NA	NA
4	5295387	5409365	4	966070	854885	-1	14	NA	NA
4	5441377	5492145	4	853513	803946	-1	5	NA	NA
4	5492334	5606379	4	774312	667458	-1	14	NA	NA
4	5607158	5696884	4	651649	565137	-1	6	NA	NA
4	5787417	6345239	4	565055	6053	-1	56	NA	6351286
4	2591138	2592343	5	2971114	2969906	-1	1	NA	NA
4	4940614	4945971	5	1050465	1037595	-1	2	NA	NA
4	495285	502991	6	4073412	4081064	1	1	NA	NA
4	2605238	2606908	6	1442640	1440970	-1	1	NA	NA
4	12632	30993	8	4644389	4614977	-1	5	NA	NA
4	2649039	2650171	8	3285221	3284090	-1	1	NA	NA
4	5419962	5429883	8	299431	289512	-1	1	NA	NA
4	2604008	2605105	12	301251	302330	1	1	NA	NA
4	3883594	3903245	17	10025	29663	1	2	NA	NA
5	536564	542987	1	6834476	6840979	1	1	NA	NA
5	551539	553316	1	7589014	7590791	1	1	NA	NA
5	1942151	1945749	1	2349851	2353468	1	1	NA	NA
5	1946706	1947849	1	2342617	2343749	1	1	NA	NA
5	1948249	1949880	1	2355605	2357236	1	1	NA	NA
5	1951456	1953270	1	3239450	3241265	1	1	NA	NA
5	3349512	3350837	1	6834410	6835711	1	1	NA	NA
5	3367677	3370749	1	6705011	6708081	1	1	NA	NA
5	4120662	4125682	2	6191787	6196811	1	1	NA	NA
5	1950319	1951452	3	3252869	3254011	1	1	NA	NA
5	1992468	1994693	3	3211912	3209648	-1	1	NA	NA
5	1981619	1990731	4	785906	776794	-1	1	NA	NA
5	4990731	4992775	4	6260009	6262051	1	1	NA	NA
5	556644	561048	5	1037217	1041591	1	1	NA	NA
5	812390	815413	5	4797726	4800758	1	1	NA	NA
5	880046	883562	5	4975063	4978579	1	1	NA	NA
5	1929078	1935561	5	1035212	1041679	1	1	NA	NA
5	3297384	3299162	5	1028290	1030070	1	1	NA	NA
5	3357018	3367661	5	5021565	5040079	1	2	NA	NA
5	4994869	4998245	5	5169254	5172639	1	1	NA	NA
5	543218	551531	6	3962948	3971268	1	1	NA	NA
5	888926	894652	6	3994614	4000338	1	1	NA	NA
5	4096696	4119371	6	3760998	3783356	1	3	NA	NA
5	4134097	4312939	6	3788610	3961878	1	16	NA	NA
5	4312951	4328626	6	3977728	3993581	1	3	NA	NA
5	4328994	4351416	6	4037415	4064362	1	4	NA	NA
5	4356896	4665620	6	4089252	4392677	1	31	NA	NA
5	4665627	4990297	6	4415082	4747212	1	21	NA	NA
5	4275	10597	7	23194	29550	1	1	NA	NA
5	3352074	3353950	7	3707426	3709301	1	1	NA	NA
5	883566	888049	8	1633195	1628709	-1	1	NA	NA
5	1224109	1234018	8	299424	289516	-1	1	NA	NA
5	3300398	3304042	8	3276393	3271500	-1	2	NA	NA
5	3335113	3336501	9	6268	7668	1	1	3328850	NA
5	555328	556482	10	1351638	1350490	-1	1	NA	NA
5	561087	562404	10	1315776	1314460	-1	1	NA	NA
5	823540	829993	10	1351638	1335918	-1	3	NA	NA
5	911872	946337	10	3381342	3347347	-1	3	NA	NA
5	958953	1090688	10	3329225	3192596	-1	15	NA	NA
5	1093700	1099213	10	1351638	1346291	-1	2	NA	NA
5	1102491	1132466	10	3190947	3158152	-1	3	NA	NA
5	1132477	1221941	10	3142454	3055397	-1	9	NA	NA
5	1237945	1280427	10	3050691	3001670	-1	8	NA	NA
5	1280703	1282280	10	1545056	1543477	-1	1	NA	NA
5	1295879	1920627	10	2973990	2337199	-1	56	NA	NA
5	1996193	2410609	10	2283460	1875572	-1	40	NA	NA
5	2417317	2463208	10	1860700	1814761	-1	5	NA	NA
5	2474833	2734607	10	1814666	1559776	-1	33	NA	NA
5	2779404	2824023	10	1489695	1445587	-1	4	NA	NA
5	2839140	2846761	10	1439828	1432227	-1	1	NA	NA
5	2847159	2903250	10	1419396	1368781	-1	12	NA	NA
5	2911847	2915916	10	1330500	1326709	-1	2	NA	NA
5	2917040	2967949	10	1307778	1260476	-1	6	NA	NA
5	2971579	3028399	10	1249120	1196120	-1	8	NA	NA
5	3028403	3158780	10	1173220	1048520	-1	15	NA	NA
5	3159828	3289821	10	1016669	885402	-1	22	NA	NA
5	3311923	3321101	10	1554229	1545054	-1	1	NA	NA
5	3338057	3339555	10	884808	883329	-1	1	NA	NA
5	3374357	3384915	10	1196119	1186608	-1	2	NA	NA
5	3389057	3437755	10	871790	825195	-1	7	NA	NA
5	3510433	3599227	10	734881	646524	-1	14	NA	NA
5	3602446	3926322	10	631583	300025	-1	32	NA	NA
5	3983139	4063702	10	299688	219209	-1	5	NA	NA
5	4064493	4073620	10	183129	175216	-1	3	NA	NA
5	4075604	4096690	10	163335	142315	-1	1	NA	NA
5	4126619	4127647	10	1351657	1350629	-1	1	NA	NA
5	4129480	4131059	10	1545056	1543477	-1	1	NA	NA
5	3330047	3331341	15	391562	390255	-1	1	3328653	NA
6	2899439	2901463	1	3238110	3240136	1	1	NA	NA
6	2930646	2932921	1	3225472	3223162	-1	1	NA	NA
6	2937589	2938783	1	3285485	3286684	1	1	NA	NA
6	4307991	4309852	1	6501706	6503567	1	1	NA	NA
6	1789258	1790421	2	6191096	6189933	-1	1	NA	NA
6	4551366	4558218	2	5177079	5183927	1	1	NA	NA
6	2896788	2898131	4	3664970	3663627	-1	1	NA	NA
6	403	3642	5	1039730	1050480	1	2	NA	NA
6	13207	253470	5	13978	251526	1	15	-768	NA
6	254059	275581	5	267996	290071	1	3	NA	NA
6	276376	282376	5	1092722	1098715	1	1	NA	NA
6	284233	709829	5	290070	713401	1	27	NA	NA
6	720625	1023036	5	722061	1020361	1	34	NA	NA
6	1023118	1142895	5	1051353	1174039	1	17	NA	NA
6	1154629	1219621	5	1194753	1261873	1	7	NA	NA
6	1231521	1240456	5	1266457	1275362	1	2	NA	NA
6	1242804	1381840	5	1293619	1452241	1	20	NA	NA
6	1388619	1425290	5	1473508	1506122	1	5	NA	NA
6	1425642	1427502	5	4081953	4083813	1	1	NA	NA
6	1568184	1742055	5	1661278	1829106	1	18	NA	NA
6	1862409	2273229	5	1981056	2402077	1	25	NA	NA
6	2296489	2842357	5	2407815	2953307	1	30	NA	NA
6	2842716	2844726	5	2974296	2976270	1	1	NA	NA
6	2844770	2890464	5	2994286	3040216	1	3	NA	NA
6	2915008	2921697	5	2971448	2974281	1	2	NA	NA
6	2943382	2948397	5	3092049	3097067	1	1	NA	NA
6	2948934	3003900	5	3130414	3186681	1	6	NA	NA
6	3003914	3062280	5	3198689	3257244	1	5	NA	NA
6	3062558	3064650	5	3461604	3463689	1	1	NA	NA
6	3064708	3102863	5	3264272	3302355	1	1	NA	NA
6	3102872	3155963	5	3313928	3366802	1	1	NA	NA
6	3163463	3502676	5	3397815	3742021	1	28	NA	NA
6	3693523	3823866	5	3949481	4092773	1	15	NA	NA
6	3834811	3886106	5	4095481	4144851	1	7	NA	NA
6	3896043	4148355	5	4155258	4419312	1	33	NA	NA
6	4156286	4301819	5	4436835	4594880	1	15	NA	NA
6	4345313	4357765	5	4648497	4660929	1	1	NA	NA
6	4358613	4371900	5	4673080	4686398	1	2	NA	NA
6	4372681	4548095	5	4702260	4884304	1	22	NA	NA
6	4548104	4550179	5	4637820	4639897	1	1	NA	NA
6	4565167	4692968	5	4884300	5020252	1	13	NA	NA
6	4692975	4813936	5	5043875	5159734	1	9	NA	NA
6	2903584	2905318	6	1440946	1442679	1	1	NA	NA
6	2927743	2929898	6	1461563	1459401	-1	1	NA	NA
6	2890975	2892103	7	575204	574076	-1	1	NA	NA
6	2922929	2926480	7	543859	540294	-1	1	NA	NA
6	4815410	4817087	10	1352326	1350650	-1	1	NA	NA
7	472767	474599	1	3260256	3262081	1	1	NA	NA
7	483251	486431	1	3229355	3225461	-1	2	NA	NA
7	1839177	1842110	1	937158	940085	1	1	NA	NA
7	488168	494677	2	2951870	2958398	1	1	NA	NA
7	502085	503249	2	2980553	2981708	1	1	NA	NA
7	477975	481385	3	3206180	3209594	1	1	NA	NA
7	373760	382680	5	4639903	4630984	-1	1	NA	NA
7	1116823	1125751	5	267341	258418	-1	1	NA	NA
7	4493745	4494797	5	4625119	4624069	-1	1	NA	NA
7	475137	477365	6	971145	973384	1	1	NA	NA
7	2749	13878	7	63883	73959	1	4	NA	NA
7	19720	67921	7	86112	134826	1	7	NA	NA
7	68075	373757	7	156376	456557	1	26	NA	NA
7	383149	389639	7	3706145	3712699	1	1	NA	NA
7	390769	451370	7	457640	517746	1	10	NA	NA
7	471117	472170	7	570829	571883	1	1	NA	NA
7	506262	768044	7	582998	843854	1	11	NA	NA
7	768137	1039729	7	859863	1137131	1	33	NA	NA
7	1041521	1094414	7	1155212	1208320	1	9	NA	NA
7	1110355	1116353	7	3706152	3712175	1	1	NA	NA
7	1128677	1158920	7	1241931	1267205	1	7	NA	NA
7	1169618	1261461	7	1267209	1357287	1	13	NA	NA
7	1277400	1372359	7	1379591	1469179	1	9	NA	NA
7	1382092	1469457	7	1479843	1554163	1	9	NA	NA
7	1484153	1752623	7	1559121	1826303	1	27	NA	NA
7	1755343	1839135	7	1852441	1934383	1	6	NA	NA
7	1876989	3079366	7	1935366	3134224	1	55	NA	NA
7	3095173	3282292	7	3136548	3324283	1	12	NA	NA
7	3283242	3288228	7	3298225	3303165	1	1	NA	NA
7	3289145	3352542	7	3324257	3387693	1	7	NA	NA
7	3371687	3426244	7	3406313	3462854	1	5	NA	NA
7	3430935	3443079	7	3476215	3492005	1	3	NA	NA
7	3449737	3639092	7	3503491	3706156	1	30	NA	NA
7	3742223	3763749	7	3869778	3890522	1	6	NA	NA
7	3765313	3798278	7	3904490	3935339	1	6	NA	NA
7	3798917	3810155	7	3951549	3962706	1	3	NA	NA
7	3810799	4306422	7	3988759	4471005	1	53	NA	NA
7	4307055	4493438	7	4492176	4692761	1	11	NA	NA
7	107	1242	8	4616350	4615217	-1	1	NA	NA
7	452292	466183	8	1642608	1628703	-1	1	NA	NA
7	1270275	1274364	10	1346292	1350384	1	1	NA	NA
7	1842779	1848914	10	1352327	1346290	-1	2	NA	NA
7	1849227	1856148	10	1314519	1315778	1	2	NA	NA
7	1856460	1875669	10	1346290	1352326	1	3	NA	NA
8	1277700	1279469	1	6717143	6718911	1	1	NA	NA
8	1252519	1259058	2	2958400	2951870	-1	1	NA	NA
8	1271163	1277696	2	2951870	2958398	1	1	NA	NA
8	1266633	1270751	4	782659	778539	-1	1	NA	NA
8	1283722	1285630	6	1442891	1440983	-1	1	NA	NA
8	178	3703	8	4623965	4615238	-1	2	NA	NA
8	16740	77125	8	4596175	4537319	-1	5	NA	NA
8	79451	423220	8	4516576	4183556	-1	42	NA	NA
8	425606	441875	8	4172086	4163763	-1	3	NA	NA
8	456175	543063	8	4148665	4061394	-1	10	NA	NA
8	568620	625297	8	4061005	4001403	-1	12	NA	NA
8	630472	682660	8	3893917	3841568	-1	4	NA	NA
8	691293	1250862	8	3830788	3294464	-1	45	NA	NA
8	1316727	1954724	8	3236703	2602846	-1	47	NA	NA
8	1962854	2763982	8	2580913	1784993	-1	45	NA	NA
8	2777196	2790745	8	1771574	1758002	-1	1	NA	NA
8	2805866	2825807	8	1746141	1726250	-1	1	NA	NA
8	2929298	3349152	8	1626994	1194979	-1	42	NA	NA
8	3353146	3583518	8	1184908	957257	-1	20	NA	NA
8	3594979	4013788	8	946317	529358	-1	52	NA	NA
8	4017168	4029284	8	510380	500305	-1	3	NA	NA
8	4029513	4035251	8	471542	465790	-1	1	NA	NA
8	4036676	4098776	8	443756	380406	-1	7	NA	NA
8	4148528	4412458	8	285687	22927	-1	17	NA	NA
8	1264370	1266249	10	199746	197867	-1	1	NA	NA
8	1313181	1314474	12	290840	289546	-1	1	NA	NA
8	1301900	1304122	15	180678	178484	-1	1	NA	NA
9	298819	300195	1	3239258	3240638	1	1	NA	NA
9	320555	323810	1	6705024	6708286	1	1	NA	NA
9	343272	344409	1	6717800	6718875	1	1	NA	NA
9	288344	289501	3	3221164	3219996	-1	1	NA	NA
9	2976681	2985595	4	5808465	5799553	-1	1	NA	NA
9	2693349	2698749	5	1037554	1050468	1	2	NA	NA
9	295408	296426	7	572108	571093	-1	1	NA	NA
9	302967	308216	7	567040	572192	1	1	NA	NA
9	2969885	2976375	7	3706156	3712704	1	1	NA	NA
9	292333	293690	8	3248723	3247362	-1	1	NA	NA
9	315944	317466	8	3269719	3268203	-1	1	NA	NA
9	20277	285990	9	4273430	4005770	-1	27	9475	NA
9	345990	367403	9	3959340	3937955	-1	2	NA	NA
9	367694	1064253	9	3922357	3230819	-1	50	NA	NA
9	1075316	1111621	9	3217992	3181638	-1	4	NA	NA
9	1128443	1513242	9	3178472	2802202	-1	27	NA	NA
9	1518909	2361889	9	2792019	1944351	-1	31	NA	NA
9	2362981	2367379	9	1734127	1729714	-1	1	NA	NA
9	2369141	2439889	9	1821810	1751491	-1	7	NA	NA
9	2439890	2445852	9	769826	763891	-1	3	NA	NA
9	2446678	2568703	9	1821806	1944216	1	7	NA	NA
9	2568917	2690283	9	1728530	1608364	-1	14	NA	NA
9	2707300	2967197	9	1602623	1361419	-1	26	NA	NA
9	2990020	3588727	9	1356302	739359	-1	47	NA	NA
9	3600738	3783182	9	733970	554091	-1	21	NA	NA
9	3818908	4286836	9	491954	38957	-1	35	NA	NA
9	335832	342895	10	200149	193088	-1	1	NA	NA
9	327058	328772	12	302953	301259	-1	1	NA	NA
10	784256	785561	1	2158	3463	1	1	782104	NA
10	1336201	1338093	1	3279720	3281639	1	1	NA	NA
10	1354738	1355864	1	3285167	3286294	1	1	NA	NA
10	1365027	1368775	1	6515156	6518886	1	1	NA	NA
10	1397580	1399763	1	3223007	3225199	1	1	NA	NA
10	622624	623875	3	608541	607289	-1	1	NA	NA
10	1351996	1353837	3	3213016	3211170	-1	1	NA	NA
10	3086662	3088521	3	1279243	1281103	1	1	NA	NA
10	174259	175914	4	1051135	1049476	-1	1	NA	NA
10	778228	783878	5	1050468	1037299	-1	2	NA	NA
10	1344082	1349457	5	1037580	1050465	1	2	NA	NA
10	1373608	1380019	5	1464726	1471068	1	1	NA	NA
10	3555372	3556408	5	1049428	1050470	1	1	NA	NA
10	14404	169741	6	14143	164837	1	13	262	NA
10	184330	580652	6	164838	574473	1	36	NA	NA
10	592606	615921	6	599981	626340	1	4	NA	NA
10	627463	770173	6	627550	770198	1	15	NA	NA
10	789007	790552	6	775898	777439	1	1	NA	NA
10	791493	898130	6	811982	922993	1	12	NA	NA
10	898288	1033585	6	938713	1085622	1	17	NA	NA
10	1043837	1305927	6	1095893	1361335	1	27	NA	NA
10	1306879	1331177	6	1382649	1406878	1	3	NA	NA
10	1333775	1334959	6	1466363	1467523	1	1	NA	NA
10	1386618	1392656	6	1447092	1442375	1	2	NA	NA
10	1395367	1397039	6	1459592	1461260	1	1	NA	NA
10	1413381	2063634	6	1471749	2116885	1	31	NA	NA
10	2063657	2934589	6	2139647	2990765	1	70	NA	NA
10	3376079	3547081	6	3458745	3615714	1	16	NA	NA
10	3557474	3710741	6	3615757	3761001	1	16	NA	NA
10	1341689	1343422	7	4471416	4473151	1	1	NA	NA
10	176322	180412	10	1350384	1346292	-1	1	NA	NA
10	616875	622364	10	1351638	1346291	-1	2	NA	NA
10	3547337	3554838	10	1352352	1346292	-1	3	NA	NA
10	3710745	3821717	10	142305	21912	-1	9	NA	NA
10	1356749	1360529	11	263100	259249	-1	1	NA	NA
10	180769	181934	13	418181	417013	-1	1	180648	NA
11	45197	51765	3	800965	807591	1	1	NA	NA
11	52144	61069	7	1843395	1852317	1	1	NA	NA
11	129708	197608	14	32937	112898	1	13	NA	NA
11	231304	473200	14	164094	402850	1	54	NA	479911
11	221096	222335	15	181442	182684	1	1	NA	NA
12	71110	72421	1	7359944	7358696	-1	1	NA	NA
12	136547	137829	10	1427472	1426201	-1	1	NA	NA
12	3131	62346	12	450755	393788	-1	11	-5133	NA
12	77502	128976	12	376000	326986	-1	15	NA	NA
12	140457	141857	12	383136	381719	-1	1	NA	NA
12	161451	279413	12	283879	160447	-1	31	NA	NA
12	306183	354837	12	138488	88668	-1	13	NA	NA
12	366386	410752	12	68100	23537	-1	13	NA	NA
13	174210	175377	1	3275623	3274443	-1	1	NA	NA
13	147134	148883	6	1442718	1440970	-1	1	NA	NA
13	182119	183475	10	2286552	2287911	1	1	NA	NA
13	113125	119407	12	367229	373512	1	1	NA	NA
13	3665	28196	15	26398	49243	1	7	NA	NA
13	37552	112134	15	62436	137650	1	11	NA	NA
13	124304	139127	15	141643	155264	1	5	NA	NA
13	185617	291185	15	204879	307588	1	23	NA	NA
13	326316	354863	15	310755	341658	1	5	NA	NA
14	189713	190816	1	6610	5499	-1	1	NA	196309
14	2339	16203	6	4780445	4766383	-1	3	NA	NA
14	191046	192211	6	1378787	1379955	1	1	NA	NA
14	196718	197915	8	3282620	3281420	-1	1	NA	NA
14	303908	305038	8	485469	486594	1	1	NA	NA
14	306420	311888	10	1346291	1351638	1	2	NA	NA
14	18896	19917	12	3521	4541	1	1	15379	NA
14	183889	185177	13	142980	144266	1	1	NA	NA
14	199217	201946	13	263432	260493	-1	2	NA	NA
14	20075	104082	16	9819	94325	1	16	10257	NA
14	113872	145599	16	104913	136580	1	5	NA	NA
14	153176	166775	16	151059	164283	1	4	NA	NA
14	167163	178286	16	179987	189014	1	3	NA	NA
14	217267	303294	16	242224	326951	1	20	NA	NA
14	316683	331031	16	330379	344569	1	3	NA	NA
